payment_id,ride_id,user_id,amount,payment_method,payment_status,transaction_id,payment_time
87,638,5538,62.34,paypal,completed,TXN-00000087,2026-03-25 00:24:42
88,13603,1476,19.75,credit_card,completed,TXN-00000088,2025-01-16 22:46:03
89,10277,5616,75.79,apple_pay,completed,TXN-00000089,2025-05-11 16:02:27
90,13453,5967,48.48,credit_card,completed,TXN-00000090,2026-06-15 15:51:43
91,10720,3943,44.62,paypal,completed,TXN-00000091,2026-01-01 05:21:05
92,9422,7177,51.62,credit_card,refunded,TXN-00000092,2026-04-24 12:33:32
93,2892,852,57.18,apple_pay,completed,TXN-00000093,2025-03-25 16:09:45
94,1387,7591,49.49,credit_card,refunded,TXN-00000094,2025-06-20 06:03:38
95,10451,7961,52.09,credit_card,completed,TXN-00000095,2026-04-25 09:33:55
96,1958,8660,71.88,google_pay,completed,TXN-00000096,2026-03-08 19:07:57
97,6225,4820,54.59,debit_card,completed,TXN-00000097,2025-11-07 12:27:32
98,17539,3773,120.6,apple_pay,completed,TXN-00000098,2025-12-28 19:38:50
99,11700,464,61.17,google_pay,completed,TXN-00000099,2025-03-08 20:12:35
100,16710,4039,112.43,google_pay,completed,TXN-00000100,2025-04-03 06:22:36
101,19295,806,153.81,credit_card,completed,TXN-00000101,2026-03-18 07:56:57
102,12020,1402,25.02,paypal,completed,TXN-00000102,2025-08-15 21:09:57
103,12303,4628,68.57,debit_card,completed,TXN-00000103,2026-06-15 07:47:24
104,7236,6111,50.7,credit_card,completed,TXN-00000104,2025-02-08 17:36:39
105,9004,5312,75.15,paypal,completed,TXN-00000105,2025-08-02 12:22:10
106,17780,1967,41.59,google_pay,completed,TXN-00000106,2025-09-22 02:59:24
107,13595,818,13.81,paypal,completed,TXN-00000107,2026-04-22 15:11:12
108,16979,4982,74.64,google_pay,completed,TXN-00000108,2025-08-28 12:41:04
109,2228,3095,48.52,paypal,completed,TXN-00000109,2025-02-19 10:36:42
110,10872,9559,65.6,debit_card,completed,TXN-00000110,2025-05-22 09:27:09
111,17799,2118,57.65,paypal,completed,TXN-00000111,2025-10-06 04:10:20
112,13902,5477,53.47,google_pay,completed,TXN-00000112,2025-10-30 10:20:45
113,14109,960,28.58,credit_card,completed,TXN-00000113,2026-06-12 05:58:10
114,1026,18,131.86,apple_pay,completed,TXN-00000114,2026-02-06 12:13:15
115,12956,2355,86.25,google_pay,completed,TXN-00000115,2025-03-18 15:20:38
116,9219,8645,20.66,debit_card,completed,TXN-00000116,2025-10-30 11:05:03
117,13616,7237,47.1,paypal,completed,TXN-00000117,2026-01-12 01:54:33
118,3630,3415,72.15,google_pay,completed,TXN-00000118,2025-08-16 10:51:52
119,155,7823,68.24,debit_card,completed,TXN-00000119,2025-03-04 21:48:14
120,8247,6997,49.62,debit_card,completed,TXN-00000120,2026-07-27 08:15:05
121,15579,3026,64.28,apple_pay,completed,TXN-00000121,2026-05-12 22:57:55
122,1816,5259,66.79,debit_card,completed,TXN-00000122,2025-04-25 16:57:18
123,5470,6921,76.66,apple_pay,refunded,TXN-00000123,2025-06-25 17:51:10
124,12140,9850,97.45,apple_pay,completed,TXN-00000124,2025-07-11 08:32:12
125,18456,5109,42.83,debit_card,completed,TXN-00000125,2025-12-31 08:52:50
126,16331,6886,118.95,apple_pay,refunded,TXN-00000126,2025-01-14 02:30:26
127,4849,8610,100.3,apple_pay,completed,TXN-00000127,2026-04-25 16:29:55
128,19765,4799,80.72,credit_card,completed,TXN-00000128,2025-08-21 12:38:32
129,6819,6749,58.28,paypal,completed,TXN-00000129,2026-07-03 13:37:22
130,2701,5418,59.41,apple_pay,completed,TXN-00000130,2026-04-13 23:50:01
131,4724,5521,24.46,credit_card,completed,TXN-00000131,2025-12-08 23:45:03
132,18080,5896,53.19,credit_card,completed,TXN-00000132,2025-10-30 06:16:20
133,19562,5625,72.93,apple_pay,completed,TXN-00000133,2026-04-25 21:46:07
134,19346,2270,51.28,paypal,completed,TXN-00000134,2025-03-03 17:36:10
135,7715,3082,40.8,apple_pay,completed,TXN-00000135,2026-06-24 07:09:58
136,15303,3122,17.23,paypal,completed,TXN-00000136,2026-05-11 17:35:09
137,19384,4281,48.74,apple_pay,completed,TXN-00000137,2025-02-20 02:24:45
138,970,8615,91.47,debit_card,completed,TXN-00000138,2026-01-27 22:21:24
139,5129,590,73.95,credit_card,completed,TXN-00000139,2025-07-16 22:34:03
140,16485,2178,82.62,apple_pay,completed,TXN-00000140,2025-11-24 05:50:15
141,6631,5865,83.71,credit_card,completed,TXN-00000141,2026-05-28 00:22:18
142,901,7593,22.53,paypal,completed,TXN-00000142,2025-04-07 23:20:29
143,17313,3056,162.77,debit_card,completed,TXN-00000143,2025-09-05 10:18:52
144,14776,8039,69.57,debit_card,completed,TXN-00000144,2025-08-18 20:38:46
145,4879,4133,58.0,google_pay,completed,TXN-00000145,2025-07-22 18:50:45
146,9676,196,76.31,paypal,failed,TXN-00000146,2025-01-09 08:08:13
147,855,5026,36.27,debit_card,completed,TXN-00000147,2025-04-12 00:15:12
148,873,3933,103.46,credit_card,completed,TXN-00000148,2025-04-24 02:02:30
149,1798,559,171.2,google_pay,completed,TXN-00000149,2025-07-27 00:32:27
150,6643,8369,24.09,credit_card,completed,TXN-00000150,2025-03-02 02:45:03
151,16908,196,97.7,debit_card,completed,TXN-00000151,2026-05-27 17:49:17
152,18811,8983,42.49,credit_card,completed,TXN-00000152,2026-04-23 00:19:47
153,16978,2872,18.19,debit_card,completed,TXN-00000153,2025-02-09 16:29:54
154,18716,2621,64.84,paypal,completed,TXN-00000154,2025-12-29 19:35:39
155,5126,9628,25.75,google_pay,completed,TXN-00000155,2025-06-13 01:34:37
156,2904,6714,75.27,debit_card,completed,TXN-00000156,2025-06-24 11:56:20
157,7153,2796,37.1,apple_pay,completed,TXN-00000157,2025-05-06 02:27:52
158,3315,8832,74.6,credit_card,completed,TXN-00000158,2025-09-11 10:20:43
159,16290,3193,90.5,credit_card,completed,TXN-00000159,2026-07-21 12:05:16
160,19237,9746,27.22,debit_card,completed,TXN-00000160,2026-07-23 05:05:16
161,499,3556,59.45,debit_card,completed,TXN-00000161,2025-06-25 09:42:37
162,15273,8499,33.69,google_pay,completed,TXN-00000162,2026-05-18 03:39:06
163,14210,8965,53.92,paypal,completed,TXN-00000163,2025-07-31 20:34:29
164,5186,1523,7.46,google_pay,completed,TXN-00000164,2025-03-31 07:49:45
165,14644,8974,26.36,apple_pay,completed,TXN-00000165,2026-01-02 19:51:36
166,8738,9863,28.87,credit_card,completed,TXN-00000166,2026-06-21 05:26:05
167,5179,3036,45.72,paypal,completed,TXN-00000167,2026-02-23 05:05:49
168,2531,5745,96.57,debit_card,completed,TXN-00000168,2025-04-17 11:04:59
169,3185,2943,26.5,paypal,completed,TXN-00000169,2025-02-23 00:33:12
170,14140,3060,66.83,debit_card,completed,TXN-00000170,2026-03-31 19:04:28
171,13176,2441,45.47,apple_pay,completed,TXN-00000171,2025-12-31 12:55:03
172,15088,2811,95.28,google_pay,completed,TXN-00000172,2025-01-03 17:08:34
173,5634,6640,50.05,google_pay,completed,TXN-00000173,2025-04-16 02:09:13
174,16322,9953,98.19,credit_card,completed,TXN-00000174,2025-06-27 21:46:11
175,6048,3434,85.98,google_pay,completed,TXN-00000175,2025-02-08 21:36:32
176,18987,4252,30.26,paypal,completed,TXN-00000176,2025-07-24 08:42:25
177,12240,1952,147.47,google_pay,completed,TXN-00000177,2026-04-06 00:37:07
178,2711,3966,40.68,paypal,completed,TXN-00000178,2026-04-07 01:08:48
179,12760,6610,30.79,paypal,completed,TXN-00000179,2025-01-03 12:36:38
180,323,9850,45.45,apple_pay,completed,TXN-00000180,2025-11-18 15:56:39
181,4819,5138,56.4,debit_card,completed,TXN-00000181,2025-10-07 20:48:43
182,7989,5772,11.28,debit_card,completed,TXN-00000182,2026-04-09 15:14:47
183,16972,9698,46.59,apple_pay,completed,TXN-00000183,2025-08-18 15:55:21
184,19911,3159,42.74,apple_pay,completed,TXN-00000184,2026-02-08 15:56:52
185,18704,8147,174.53,apple_pay,failed,TXN-00000185,2026-07-02 23:36:37
186,10867,5678,136.44,debit_card,completed,TXN-00000186,2025-02-20 07:07:56
187,11873,2204,140.4,credit_card,completed,TXN-00000187,2025-07-01 13:08:17
188,7149,6770,44.4,google_pay,completed,TXN-00000188,2026-01-01 15:47:57
189,7254,6293,91.12,google_pay,completed,TXN-00000189,2025-05-30 23:25:04
190,18942,4647,27.52,credit_card,completed,TXN-00000190,2026-02-07 01:19:37
191,9451,155,69.69,credit_card,failed,TXN-00000191,2025-04-11 19:28:03
192,19759,1537,21.45,paypal,completed,TXN-00000192,2025-01-10 01:52:37
193,12025,9246,35.88,debit_card,completed,TXN-00000193,2025-09-20 08:01:34
194,2058,4994,102.65,apple_pay,completed,TXN-00000194,2025-05-31 10:54:21
195,17865,5173,42.27,google_pay,completed,TXN-00000195,2025-12-29 10:12:57
196,4173,1499,90.06,apple_pay,refunded,TXN-00000196,2026-06-07 14:42:13
197,19530,868,35.52,paypal,completed,TXN-00000197,2026-06-30 06:53:22
198,16448,1242,60.45,apple_pay,completed,TXN-00000198,2026-06-12 01:43:16
199,4777,5009,36.08,apple_pay,completed,TXN-00000199,2025-04-01 23:54:27
200,8724,1184,87.7,google_pay,completed,TXN-00000200,2025-06-18 01:15:34
201,7559,3129,35.9,apple_pay,completed,TXN-00000201,2025-07-19 05:53:30
202,3505,6491,64.2,apple_pay,completed,TXN-00000202,2025-02-18 09:48:48
203,5837,3237,43.93,google_pay,completed,TXN-00000203,2026-06-13 20:03:26
204,3777,4354,53.94,debit_card,completed,TXN-00000204,2025-05-21 17:02:43
205,11539,9480,44.51,debit_card,completed,TXN-00000205,2025-11-07 13:17:04
206,5456,6122,26.38,debit_card,completed,TXN-00000206,2025-07-16 07:11:25
207,19039,5638,71.46,apple_pay,completed,TXN-00000207,2025-09-16 23:36:47
208,13970,2444,73.93,paypal,completed,TXN-00000208,2025-10-08 10:04:08
209,6276,2152,80.4,apple_pay,completed,TXN-00000209,2025-11-30 17:31:20
210,397,2603,85.9,debit_card,failed,TXN-00000210,2025-10-18 07:44:29
211,12500,2749,65.28,google_pay,completed,TXN-00000211,2025-10-30 15:23:01
212,15213,625,76.05,credit_card,completed,TXN-00000212,2025-06-29 09:54:19
213,2746,6800,24.56,debit_card,completed,TXN-00000213,2026-03-16 00:37:27
214,8314,3958,106.03,debit_card,completed,TXN-00000214,2025-04-15 02:38:16
215,9761,8789,22.14,apple_pay,completed,TXN-00000215,2026-04-11 22:22:17
216,1981,6369,18.91,debit_card,completed,TXN-00000216,2026-01-27 09:29:08
217,10422,6317,59.3,paypal,completed,TXN-00000217,2026-05-12 23:03:22
218,9490,6269,88.7,debit_card,completed,TXN-00000218,2025-09-24 07:41:53
219,10069,9219,24.05,google_pay,completed,TXN-00000219,2025-09-16 04:24:23
220,5320,305,33.8,apple_pay,completed,TXN-00000220,2025-02-14 06:34:18
221,8723,4547,65.11,debit_card,completed,TXN-00000221,2025-08-02 11:57:42
222,7311,5111,33.95,paypal,completed,TXN-00000222,2026-05-26 11:39:11
223,10414,7309,57.63,apple_pay,completed,TXN-00000223,2025-01-24 10:11:13
224,3681,6877,186.04,google_pay,completed,TXN-00000224,2025-04-25 13:44:49
225,12121,2874,30.14,credit_card,completed,TXN-00000225,2025-04-12 06:04:25
226,6303,8664,89.29,paypal,completed,TXN-00000226,2025-02-23 12:14:23
227,5588,7899,31.87,paypal,completed,TXN-00000227,2026-01-27 17:59:25
228,5287,6787,30.3,debit_card,completed,TXN-00000228,2025-07-10 09:38:44
229,17054,2621,127.69,debit_card,completed,TXN-00000229,2026-03-28 18:48:53
230,11878,7856,16.77,apple_pay,completed,TXN-00000230,2025-12-16 11:36:56
231,10939,8454,172.15,apple_pay,completed,TXN-00000231,2026-03-01 06:00:14
232,1480,1193,114.5,credit_card,completed,TXN-00000232,2025-07-23 04:30:50
233,16141,8556,72.07,debit_card,completed,TXN-00000233,2026-04-17 00:16:00
234,15785,5310,45.03,apple_pay,completed,TXN-00000234,2025-04-20 05:44:31
235,9601,4049,63.78,apple_pay,completed,TXN-00000235,2026-06-11 00:46:08
236,2441,7231,84.4,credit_card,completed,TXN-00000236,2025-02-01 18:05:29
237,8061,6942,20.24,paypal,completed,TXN-00000237,2025-07-31 04:49:33
238,19230,7856,58.3,debit_card,completed,TXN-00000238,2025-04-20 08:06:10
239,16975,8052,66.63,paypal,completed,TXN-00000239,2026-01-16 08:44:37
240,17096,188,54.55,credit_card,completed,TXN-00000240,2026-07-18 15:37:08
241,13657,3618,135.32,google_pay,completed,TXN-00000241,2025-10-11 08:09:55
242,7095,1719,31.56,apple_pay,completed,TXN-00000242,2025-09-28 23:34:47
243,17657,3669,151.0,credit_card,completed,TXN-00000243,2025-10-11 19:38:57
244,19373,6125,98.84,paypal,completed,TXN-00000244,2026-04-16 08:00:28
245,16940,4249,28.88,credit_card,failed,TXN-00000245,2025-11-18 20:11:42
246,8336,15,20.7,paypal,completed,TXN-00000246,2025-07-18 16:27:33
247,8993,4306,55.66,debit_card,completed,TXN-00000247,2026-06-24 20:52:11
248,4172,4943,71.08,apple_pay,failed,TXN-00000248,2025-12-17 04:33:01
249,12011,3604,18.46,apple_pay,completed,TXN-00000249,2025-11-04 07:14:30
250,17937,1320,34.28,google_pay,refunded,TXN-00000250,2025-05-01 13:21:03
251,19461,427,79.84,google_pay,completed,TXN-00000251,2026-03-07 10:35:49
252,5751,5117,6.92,google_pay,completed,TXN-00000252,2026-05-15 14:31:56
253,13436,8844,63.68,credit_card,completed,TXN-00000253,2025-11-22 07:18:49
254,5199,8874,58.09,debit_card,completed,TXN-00000254,2025-09-14 07:05:01
255,14968,2675,77.04,google_pay,completed,TXN-00000255,2025-05-20 10:21:21
256,14572,3189,62.29,debit_card,completed,TXN-00000256,2026-01-06 21:49:22
257,10061,7449,58.71,google_pay,completed,TXN-00000257,2025-12-30 02:21:05
258,12452,8264,76.5,debit_card,completed,TXN-00000258,2025-10-16 05:54:36
259,7670,3948,30.51,paypal,completed,TXN-00000259,2025-01-21 10:24:58
260,14726,9338,73.96,apple_pay,completed,TXN-00000260,2026-06-14 19:12:55
261,11607,1279,100.64,credit_card,completed,TXN-00000261,2025-06-08 20:29:42
262,4247,3082,31.31,credit_card,completed,TXN-00000262,2025-12-17 22:10:57
263,19469,6978,36.62,credit_card,completed,TXN-00000263,2025-03-08 15:13:56
264,16650,6489,77.06,credit_card,completed,TXN-00000264,2025-03-07 12:53:16
265,5341,1466,64.67,google_pay,completed,TXN-00000265,2026-03-19 07:20:38
266,872,7321,70.76,debit_card,completed,TXN-00000266,2025-09-13 23:12:05
267,2690,173,152.69,credit_card,completed,TXN-00000267,2025-10-08 10:40:05
268,3279,3520,44.91,debit_card,failed,TXN-00000268,2026-02-09 19:12:08
269,7177,4748,43.52,apple_pay,completed,TXN-00000269,2025-02-09 20:34:20
270,12773,417,50.6,debit_card,failed,TXN-00000270,2025-04-30 14:10:02
271,11917,5866,64.19,debit_card,completed,TXN-00000271,2025-09-21 00:32:16
272,9433,5365,104.84,apple_pay,completed,TXN-00000272,2026-04-02 19:01:13
273,3247,7417,38.14,paypal,completed,TXN-00000273,2026-07-16 14:45:19
274,48,1466,90.11,credit_card,completed,TXN-00000274,2025-03-05 10:59:39
275,10924,1487,83.21,apple_pay,completed,TXN-00000275,2026-05-06 04:13:57
276,16179,9633,91.45,apple_pay,completed,TXN-00000276,2025-06-29 06:07:23
277,733,4999,114.91,paypal,completed,TXN-00000277,2026-07-18 04:04:19
278,19769,8002,62.73,google_pay,completed,TXN-00000278,2025-02-19 19:19:23
279,9695,7749,64.31,debit_card,completed,TXN-00000279,2025-08-23 14:47:04
280,7962,9175,20.06,apple_pay,completed,TXN-00000280,2025-03-18 05:55:55
281,16241,8624,38.98,credit_card,completed,TXN-00000281,2026-05-12 21:03:04
282,8893,1729,46.46,google_pay,completed,TXN-00000282,2025-09-01 06:50:12
283,9759,8608,26.64,debit_card,completed,TXN-00000283,2026-05-17 18:13:19
284,519,7545,50.7,paypal,completed,TXN-00000284,2026-02-25 03:58:20
285,1448,6138,38.82,apple_pay,completed,TXN-00000285,2025-06-07 14:21:26
286,18059,3201,17.2,google_pay,completed,TXN-00000286,2025-09-04 04:51:57
287,2614,637,64.39,credit_card,completed,TXN-00000287,2025-10-04 14:32:40
288,4315,2150,49.41,credit_card,completed,TXN-00000288,2025-03-07 20:03:40
289,15317,4428,74.78,apple_pay,completed,TXN-00000289,2025-04-15 20:37:01
290,18757,1347,61.33,debit_card,completed,TXN-00000290,2025-02-10 07:25:32
291,1414,73,47.68,apple_pay,completed,TXN-00000291,2025-11-26 00:16:18
292,19152,2932,61.08,apple_pay,completed,TXN-00000292,2025-10-15 05:05:59
293,1754,8918,82.43,credit_card,completed,TXN-00000293,2025-02-03 11:37:25
294,18595,3277,115.3,paypal,refunded,TXN-00000294,2026-03-20 22:27:51
295,8714,6054,33.94,credit_card,completed,TXN-00000295,2025-12-30 07:35:38
296,13759,3265,79.12,credit_card,completed,TXN-00000296,2025-05-09 14:48:44
297,7028,7365,118.21,paypal,completed,TXN-00000297,2025-01-07 03:40:08
298,6360,2384,46.23,google_pay,completed,TXN-00000298,2025-08-17 20:55:50
299,14362,8047,35.29,google_pay,completed,TXN-00000299,2025-01-29 19:49:34
300,16618,9940,77.57,apple_pay,completed,TXN-00000300,2026-04-22 14:31:02
301,3742,2234,110.26,apple_pay,completed,TXN-00000301,2025-10-24 18:26:00
302,18754,5720,118.77,debit_card,completed,TXN-00000302,2025-12-09 02:47:58
303,18979,4473,67.28,google_pay,completed,TXN-00000303,2025-10-08 19:57:16
304,14598,2139,23.69,apple_pay,completed,TXN-00000304,2025-01-15 01:51:29
305,7946,8796,77.85,google_pay,completed,TXN-00000305,2026-02-03 16:39:26
306,13746,8343,80.0,credit_card,completed,TXN-00000306,2026-07-18 21:08:53
307,1897,6693,67.42,paypal,completed,TXN-00000307,2025-04-01 21:57:06
308,19004,3360,101.94,paypal,completed,TXN-00000308,2025-05-09 17:23:40
309,5249,9841,70.53,debit_card,completed,TXN-00000309,2025-09-01 05:05:12
310,17619,1257,175.61,debit_card,completed,TXN-00000310,2025-12-28 09:14:29
311,4266,8418,25.89,paypal,completed,TXN-00000311,2025-12-04 03:54:31
312,13932,1609,134.45,google_pay,completed,TXN-00000312,2026-07-14 23:14:14
313,6722,3489,35.85,paypal,completed,TXN-00000313,2026-02-18 14:07:06
314,13917,7453,122.69,google_pay,failed,TXN-00000314,2026-04-24 20:56:45
315,9385,3184,91.65,paypal,completed,TXN-00000315,2025-06-18 00:32:55
316,11705,1476,123.63,google_pay,completed,TXN-00000316,2025-11-09 13:05:00
317,1535,6146,40.59,credit_card,failed,TXN-00000317,2026-06-28 12:16:33
318,6383,7996,48.1,google_pay,completed,TXN-00000318,2025-08-18 18:08:54
319,17875,2264,34.78,google_pay,completed,TXN-00000319,2025-12-09 03:10:55
320,14815,5096,26.79,paypal,completed,TXN-00000320,2026-01-15 05:53:25
321,1436,6781,52.38,debit_card,completed,TXN-00000321,2026-06-21 23:32:27
322,18477,697,53.73,credit_card,completed,TXN-00000322,2025-06-02 18:46:39
323,2286,553,130.63,credit_card,completed,TXN-00000323,2025-07-20 13:31:32
324,4911,1193,23.5,google_pay,completed,TXN-00000324,2025-04-23 03:10:42
325,13327,1579,93.9,google_pay,completed,TXN-00000325,2025-04-11 15:15:58
326,16447,4621,74.91,debit_card,completed,TXN-00000326,2026-07-15 09:01:19
327,8765,287,68.72,paypal,completed,TXN-00000327,2025-05-30 17:57:58
328,13148,8878,122.0,debit_card,completed,TXN-00000328,2026-07-15 05:23:10
329,14658,1464,151.28,apple_pay,completed,TXN-00000329,2025-09-11 08:04:00
330,17615,4525,72.8,google_pay,completed,TXN-00000330,2026-05-26 20:54:21
331,11953,3364,143.44,apple_pay,completed,TXN-00000331,2026-06-09 17:44:42
332,19011,7381,83.61,credit_card,failed,TXN-00000332,2025-06-10 01:34:26
333,13586,5134,50.83,google_pay,completed,TXN-00000333,2025-07-23 17:58:24
334,11374,5916,53.89,paypal,failed,TXN-00000334,2025-04-24 13:51:25
335,17099,4054,74.52,debit_card,completed,TXN-00000335,2026-06-03 01:44:24
336,14325,8639,69.88,paypal,completed,TXN-00000336,2025-09-30 02:46:24
337,4933,6666,44.34,apple_pay,completed,TXN-00000337,2025-08-01 17:08:37
338,7403,2614,136.13,paypal,completed,TXN-00000338,2025-08-07 06:05:02
339,1006,5651,38.86,apple_pay,completed,TXN-00000339,2026-03-10 05:27:34
340,10336,6599,32.43,paypal,completed,TXN-00000340,2025-07-10 08:43:13
