rating_id,ride_id,rider_id,driver_id,rating,comment,rated_at
43,12426,8352,8159,4,Average experience,2026-04-20 03:05:28
44,14827,6134,1102,5,Good experience,2025-05-18 22:20:19
45,8667,9424,9732,5,Smooth ride,2025-01-08 06:06:57
46,70,3106,3115,5,Could have been better,2025-04-23 16:26:18
47,5385,6208,7020,5,Very friendly driver,2025-12-01 01:34:20
48,17659,2156,3458,5,Good experience,2025-04-16 19:12:02
49,14662,2302,1595,5,Average experience,2025-01-07 21:51:18
50,10371,5798,8230,5,Driver was professional,2026-06-29 19:48:35
51,11121,7962,738,5,Could have been better,2025-09-11 14:53:29
52,3715,432,5560,5,Clean vehicle,2025-08-29 21:20:13
53,10514,1377,465,4,Good experience,2025-11-12 16:32:25
54,1639,7018,4263,5,Average experience,2025-01-11 23:27:23
55,2205,647,847,5,,2025-01-07 14:46:01
56,4796,8022,1585,3,On time,2025-01-11 22:37:29
57,18685,9679,3987,5,,2025-02-10 21:25:28
58,1829,9567,6027,5,Good experience,2026-02-05 20:56:38
59,3915,1704,2939,5,Clean vehicle,2025-12-12 18:29:38
60,9153,7820,1241,5,,2025-03-26 12:45:10
61,6439,8416,9821,5,Great ride,2026-01-26 07:59:30
62,3395,3262,4368,5,Good experience,2025-07-21 23:13:11
63,2978,2333,7438,1,Smooth ride,2026-07-10 06:54:32
64,9581,4765,7563,5,Could have been better,2025-11-11 02:45:32
65,5018,8244,8511,2,Clean vehicle,2025-08-04 11:14:39
66,12984,8038,9779,5,Good experience,2025-01-02 07:22:50
67,6630,8782,2127,5,Could have been better,2025-05-17 17:50:51
68,6512,4277,7634,5,On time,2025-09-24 22:22:27
69,12186,5698,6685,5,On time,2025-12-09 09:41:06
70,19861,9752,9043,5,Average experience,2025-05-12 01:25:50
71,8077,9338,8755,1,Good experience,2025-12-02 20:17:47
72,14677,7717,8018,5,Could have been better,2025-09-16 16:20:06
73,2698,1013,3921,4,Great ride,2025-09-03 17:28:29
74,12499,3587,6002,5,Driver was professional,2025-07-19 23:25:12
75,6798,8648,4939,3,Driver was professional,2025-10-26 16:05:58
76,13741,9047,7954,5,On time,2026-03-02 16:22:16
77,15983,3000,2040,4,On time,2026-06-15 01:39:30
78,8561,7820,9755,5,Great ride,2026-02-07 01:26:34
79,15350,8589,2901,5,On time,2026-05-02 12:08:52
80,4831,3273,1109,5,,2026-01-15 03:43:33
81,2395,5505,1258,4,Good experience,2025-04-22 19:37:00
82,5425,1179,606,5,Could have been better,2026-01-21 19:17:49
83,7235,4474,225,5,Driver was professional,2025-06-14 02:14:41
84,12971,2304,8978,5,Average experience,2025-06-27 04:39:06
85,4237,2170,6412,4,Could have been better,2025-03-06 21:54:32
86,8373,6618,1463,5,Average experience,2025-12-10 18:17:02
87,7015,6490,5662,5,Very friendly driver,2026-03-04 20:39:09
88,13566,387,7917,5,Average experience,2025-09-11 20:42:34
89,12995,8820,6623,4,Smooth ride,2025-08-02 03:20:49
90,1530,7294,1265,5,,2025-12-04 13:09:38
91,18241,6848,1392,4,Very friendly driver,2026-06-07 14:43:38
92,2822,5817,8446,5,Driver was professional,2025-10-31 08:58:12
93,15824,7054,8487,5,Average experience,2026-06-10 04:56:58
94,11932,454,9905,5,Driver was professional,2026-04-13 15:09:18
95,8650,5415,4636,5,On time,2026-01-14 11:11:29
96,12391,492,2391,5,Clean vehicle,2025-11-19 15:47:39
97,8534,3294,816,2,Smooth ride,2026-04-17 15:53:54
98,18521,2093,8096,4,Smooth ride,2026-04-23 04:03:53
99,19158,2824,1252,5,Smooth ride,2026-03-05 22:39:57
100,9155,5207,1847,4,Very friendly driver,2025-07-01 19:39:47
101,15688,1627,407,5,Very friendly driver,2026-04-17 05:11:20
102,921,5973,7461,5,Driver was professional,2026-01-08 08:33:20
103,5171,3094,7049,4,,2025-10-11 08:49:45
104,9765,7839,5092,5,,2025-09-14 15:56:37
105,3843,8869,6950,4,Smooth ride,2026-06-30 03:39:16
106,17244,95,7566,5,Average experience,2025-04-21 20:16:43
107,10111,3008,4572,5,Very friendly driver,2026-07-05 02:49:31
108,843,5589,6966,3,Smooth ride,2026-05-14 08:04:05
109,15038,1693,2624,5,Clean vehicle,2025-11-17 14:04:41
110,18411,6511,9269,5,Smooth ride,2025-07-20 16:56:20
111,9143,4304,2706,5,Smooth ride,2025-04-23 17:32:43
112,11080,2715,5936,5,Smooth ride,2025-01-21 14:30:51
113,4663,5911,1470,3,Good experience,2025-05-30 14:38:32
114,850,8508,6368,5,Smooth ride,2026-04-26 17:05:09
115,633,1862,5645,5,Great ride,2026-07-24 23:56:25
116,11327,381,4106,1,Good experience,2026-07-09 01:39:27
117,17582,89,5940,5,Very friendly driver,2026-05-28 17:16:42
118,6860,9932,7034,4,Could have been better,2025-11-30 05:57:46
119,19469,6978,801,5,,2025-03-08 15:13:56
120,2071,3530,4370,4,Average experience,2025-03-08 05:38:19
121,4494,1364,6626,5,On time,2025-04-10 16:49:48
122,5587,7197,8805,5,On time,2025-07-24 18:19:08
123,6666,7058,9899,5,,2025-11-09 13:52:39
124,8965,4455,2998,4,Smooth ride,2025-07-22 14:54:24
125,10885,6551,3924,4,Average experience,2025-08-24 14:38:33
126,19430,5389,1318,5,Driver was professional,2025-03-10 07:46:20
127,2054,1992,5036,5,Driver was professional,2025-03-06 00:37:39
128,18917,9562,8274,5,,2025-12-10 23:31:41
129,97,4974,9486,4,Driver was professional,2025-08-14 12:24:36
130,13231,446,898,5,Great ride,2026-07-27 01:22:45
131,5130,8206,8212,5,Average experience,2025-06-11 09:48:45
132,2206,9589,7700,5,Smooth ride,2025-05-11 17:28:46
133,17154,4797,8728,5,Great ride,2025-10-07 10:55:28
134,12934,6220,9063,5,Good experience,2025-10-01 05:26:14
135,18663,3136,9638,5,Could have been better,2026-02-28 03:28:50
136,15212,2355,5932,4,Great ride,2026-05-05 04:43:35
137,13719,6651,4659,5,Could have been better,2026-04-08 08:31:03
138,4064,5855,3892,5,On time,2026-06-22 13:30:01
139,13120,9927,6180,5,Clean vehicle,2025-11-20 06:31:27
140,444,1521,6889,4,Driver was professional,2025-06-07 04:20:20
141,9950,8545,8969,5,,2025-07-14 15:24:34
142,9446,2932,5583,4,Driver was professional,2026-07-07 14:24:30
143,1427,6492,1900,5,Great ride,2026-04-01 07:39:27
144,3005,8195,6889,5,On time,2025-09-25 04:09:09
145,459,872,5287,5,Great ride,2025-08-03 04:02:09
146,10627,4790,1071,5,Could have been better,2026-02-04 11:43:50
147,6234,4371,7179,5,Driver was professional,2026-01-02 22:06:13
148,16896,7404,8828,4,Could have been better,2026-05-08 01:36:09
149,16330,8521,898,4,Good experience,2025-06-19 14:00:55
150,5325,9942,987,5,Very friendly driver,2026-06-10 15:14:42
151,16735,351,9104,5,,2025-12-15 19:04:50
152,130,4614,2804,5,Could have been better,2026-05-17 00:30:26
153,15493,7212,1810,4,,2025-07-18 16:39:53
154,1788,5720,440,5,Could have been better,2025-06-05 05:44:57
155,12766,5035,9873,5,Average experience,2025-10-10 23:07:47
156,14456,1500,937,5,Smooth ride,2025-09-14 16:29:21
157,907,178,4507,4,Good experience,2026-01-14 14:54:30
158,11698,7804,8761,5,Great ride,2025-12-21 22:44:04
159,18552,8128,9184,5,Great ride,2025-05-31 01:11:20
160,17322,4197,8386,5,On time,2026-06-15 13:36:09
161,15571,5466,5737,3,,2026-07-03 12:10:24
162,2983,9109,1053,5,Very friendly driver,2026-02-16 14:04:03
163,3489,5780,1647,5,,2026-05-26 13:42:16
164,10203,3472,959,4,Very friendly driver,2025-04-28 14:46:10
165,11470,8147,5901,5,Very friendly driver,2025-08-17 03:54:03
166,9789,7038,4807,5,Could have been better,2025-01-01 12:00:47
167,19155,2461,1291,4,Could have been better,2026-03-16 05:11:25
168,7432,9275,8951,5,On time,2025-07-20 01:37:00
169,2218,3852,6869,5,Could have been better,2025-04-27 03:32:17
170,16448,1242,8856,5,Clean vehicle,2026-06-12 01:43:16
171,8228,2862,8056,3,Very friendly driver,2025-04-09 11:14:00
172,2207,3352,1531,5,Driver was professional,2025-12-28 13:43:01
173,2431,830,5268,5,Very friendly driver,2026-06-30 18:10:20
174,1587,8397,9755,5,,2025-08-22 00:00:32
175,3008,8896,8702,5,Smooth ride,2025-10-06 16:20:59
176,2648,886,4804,5,Good experience,2026-07-17 05:36:46
177,18341,2661,6087,4,Average experience,2025-12-28 11:39:04
178,6361,8124,1265,4,Driver was professional,2025-05-18 06:53:55
179,17886,2228,6070,5,Smooth ride,2025-07-17 10:18:32
180,9685,1739,2762,5,Clean vehicle,2025-03-23 01:51:34
181,6835,2777,3996,5,Very friendly driver,2025-02-13 18:01:24
182,11547,3409,7392,5,Clean vehicle,2026-04-17 06:48:10
183,4998,394,6212,5,Could have been better,2026-06-25 07:59:59
184,6868,3415,75,5,Good experience,2026-06-24 12:05:22
185,9859,9603,3503,4,,2025-05-09 22:21:18
186,11060,6235,5371,4,Could have been better,2025-02-13 21:03:10
187,11090,8178,5593,3,Driver was professional,2025-09-20 00:58:50
188,15680,1171,9269,3,Clean vehicle,2025-09-09 15:03:58
189,4418,8924,9325,5,Smooth ride,2025-10-05 07:54:23
190,1121,1121,5993,5,Driver was professional,2026-04-15 16:36:49
191,13481,9929,6070,5,Great ride,2025-05-02 11:04:03
192,17891,6805,8803,1,On time,2026-03-10 01:05:27
193,16020,8617,8247,5,Very friendly driver,2025-06-17 20:25:33
194,15751,977,3322,3,Clean vehicle,2025-02-06 14:21:19
195,1267,542,9477,4,Great ride,2026-07-11 10:45:19
196,18953,8973,754,5,On time,2025-06-29 12:04:48
197,285,9465,9747,5,Driver was professional,2025-08-25 11:36:27
198,4390,9021,2589,4,Clean vehicle,2026-07-12 20:47:28
199,14569,7962,5413,5,Very friendly driver,2025-08-29 14:16:13
200,10456,2724,3034,5,Driver was professional,2025-05-25 02:10:27
201,17088,1478,8056,5,Average experience,2026-05-31 12:07:49
202,4961,831,4378,4,Good experience,2025-05-08 15:33:05
203,16785,5587,6838,3,,2025-09-21 18:32:25
204,3741,1700,6992,5,Good experience,2026-07-03 13:22:55
205,13009,1411,2944,5,Clean vehicle,2025-12-09 11:20:26
206,19985,2018,9860,4,Good experience,2025-11-23 20:03:08
207,261,2738,5963,5,Average experience,2025-12-21 04:44:23
208,4591,8642,1292,4,Clean vehicle,2026-07-23 11:17:58
209,17314,4903,7757,4,Clean vehicle,2025-08-13 01:05:58
210,7661,5220,9062,5,Driver was professional,2026-05-07 12:13:59
211,6287,6463,1497,5,Average experience,2025-09-16 13:30:48
212,10637,3803,91,4,Driver was professional,2025-08-19 21:59:04
213,5115,7476,6931,5,Could have been better,2025-03-03 11:23:39
214,11606,773,4501,5,,2025-10-12 23:50:13
215,19504,4406,9332,5,Good experience,2025-05-06 15:56:59
216,4447,4308,1791,4,Driver was professional,2025-06-12 14:29:34
217,19580,3124,349,5,Good experience,2025-03-31 02:37:54
218,8889,2660,3897,5,,2025-01-25 04:06:37
219,8429,147,4019,5,,2026-02-06 01:00:29
220,3833,1524,2822,5,Could have been better,2025-11-29 14:53:56
221,14210,8965,8990,4,Could have been better,2025-07-31 20:34:29
222,3374,4581,4809,4,Average experience,2025-02-13 21:01:47
223,369,9797,7958,5,,2025-12-17 17:24:17
224,409,995,4296,4,Good experience,2026-06-20 19:31:02
225,13703,781,4650,5,Great ride,2025-04-23 00:06:27
226,12649,9428,7539,4,Very friendly driver,2025-02-13 15:03:23
227,9407,6145,8937,4,Driver was professional,2025-01-03 17:49:40
228,5436,9604,5488,5,Very friendly driver,2025-11-20 02:32:13
229,18896,1544,9241,5,Driver was professional,2025-12-27 10:08:01
230,13495,3714,7812,2,Driver was professional,2026-03-01 03:00:29
231,9513,6635,59,5,Average experience,2026-02-10 22:40:28
232,8064,7977,6271,5,On time,2026-06-06 22:58:14
233,2297,5295,1182,5,Great ride,2026-04-15 16:12:25
234,2016,479,6359,5,Good experience,2025-06-18 13:34:41
235,1663,30,5814,4,Great ride,2026-07-16 22:09:53
236,16811,8920,4162,5,Very friendly driver,2025-07-19 08:01:44
237,9098,7060,2581,5,Smooth ride,2025-10-09 06:59:47
238,7983,7109,8084,5,Good experience,2025-04-01 23:13:23
239,2486,336,3259,5,Good experience,2025-11-07 03:45:27
240,19007,9257,1246,4,Clean vehicle,2025-09-30 03:12:08
241,5290,9124,7229,5,Smooth ride,2026-07-05 23:54:18
242,12486,546,9394,5,,2025-04-21 06:54:33
243,1370,8824,7165,5,Driver was professional,2026-07-05 09:39:40
244,13918,7867,9584,5,Great ride,2025-04-15 21:01:40
245,19781,4556,4652,3,Average experience,2025-11-08 00:30:50
246,15450,1907,8351,5,Could have been better,2025-08-31 09:04:03
247,14557,8638,3546,5,Very friendly driver,2025-12-26 00:35:56
248,17357,5612,9325,2,On time,2025-04-15 06:44:30
249,2162,2468,4690,4,Great ride,2025-02-05 21:38:26
250,19813,2235,7964,5,Clean vehicle,2025-10-16 05:45:53
251,16648,6521,1249,5,Clean vehicle,2025-01-07 19:04:24
252,5281,3574,9063,4,Very friendly driver,2026-03-07 03:35:36
253,3331,7152,8618,5,On time,2026-02-28 08:11:33
254,12823,8407,7878,4,On time,2025-10-16 04:53:54
255,11148,8867,9987,5,On time,2026-01-21 22:29:43
256,1518,8681,6483,5,Clean vehicle,2025-05-12 18:14:37
257,17756,5896,1127,4,Clean vehicle,2025-01-26 18:11:27
258,8896,8876,4808,3,,2025-01-04 20:31:25
259,19967,4699,9667,4,,2026-01-16 09:05:42
260,10935,4775,3061,3,,2025-01-13 10:45:37
261,8736,6995,9193,4,Clean vehicle,2025-02-08 22:21:08
262,14078,3727,4095,5,Great ride,2025-03-21 04:18:35
263,6675,6801,5038,4,Very friendly driver,2025-04-15 23:04:57
264,866,6973,5659,2,On time,2026-07-30 21:43:48
265,1298,8311,5754,5,Driver was professional,2025-08-21 08:48:29
266,5983,8795,9620,5,Clean vehicle,2026-06-24 20:35:16
267,11153,5294,9754,4,Clean vehicle,2025-04-22 11:42:04
268,14443,5437,1441,5,,2026-02-28 18:41:22
269,16704,7550,6898,5,Could have been better,2026-01-13 14:44:40
270,5573,4462,3181,5,Very friendly driver,2025-02-27 18:41:06
271,15963,6574,8118,5,On time,2026-05-15 03:31:05
272,1072,9304,4987,3,Could have been better,2025-07-06 05:41:28
273,12896,2803,4497,5,Driver was professional,2025-07-10 19:00:21
274,6554,6113,3728,5,,2026-05-04 00:44:27
275,14333,1062,3087,5,Driver was professional,2025-10-25 01:29:24
276,12361,3031,6654,3,Driver was professional,2025-04-06 09:15:43
277,19332,3122,4198,5,Average experience,2025-02-26 00:11:58
278,19668,9297,9262,4,Great ride,2025-01-09 06:38:47
279,2951,9206,1214,5,Smooth ride,2025-09-30 04:44:45
280,12442,3223,334,4,Driver was professional,2025-05-31 18:38:17
281,9329,1383,463,5,Great ride,2025-06-21 14:19:58
282,4446,2746,243,5,Great ride,2026-05-20 10:16:42
283,17681,7387,8780,2,Could have been better,2025-02-13 17:44:00
284,10696,2229,9286,5,Very friendly driver,2025-03-26 08:36:01
285,7959,45,3870,5,Average experience,2025-05-20 20:33:47
286,10530,2320,4327,5,,2026-02-27 01:36:05
287,2318,5835,1656,5,,2025-03-06 07:42:20
288,19911,3159,654,4,Could have been better,2026-02-08 15:56:52
289,7443,2396,9053,4,Great ride,2026-03-27 17:33:05
290,13627,7277,4156,5,Very friendly driver,2026-03-13 00:27:16
291,5206,1259,2743,5,Good experience,2025-03-21 15:35:44
292,17888,2218,9743,4,Very friendly driver,2026-03-30 22:29:38
293,10907,7424,3270,4,Very friendly driver,2025-11-30 06:31:47
294,13466,7876,4612,5,Driver was professional,2025-08-15 10:15:09
295,4496,3725,9612,4,Smooth ride,2025-12-29 03:05:53
296,10116,2049,566,4,Very friendly driver,2025-02-24 23:46:05
297,15226,9907,4040,4,Smooth ride,2026-07-11 02:44:06
298,19315,9738,9873,5,Clean vehicle,2025-09-14 06:38:43
299,11986,7638,7372,2,Driver was professional,2026-06-27 01:49:13
300,12757,3082,7490,5,On time,2025-12-29 10:30:44
301,7110,5082,7741,5,Smooth ride,2025-09-13 13:30:59
302,14917,7176,242,5,On time,2025-08-21 06:34:34
303,7441,3414,9050,4,Driver was professional,2025-10-26 03:31:30
304,16354,5124,5599,5,Great ride,2025-04-06 14:47:37
305,14613,2856,1289,5,Could have been better,2025-03-18 10:34:40
306,4547,1577,7270,2,Driver was professional,2025-11-06 16:01:15
307,6309,4405,9459,5,On time,2026-05-28 12:11:33
308,17305,2253,9937,5,Clean vehicle,2026-07-13 02:50:53
309,7939,5182,1753,5,Driver was professional,2025-10-29 09:14:15
310,11573,7290,201,5,Very friendly driver,2026-07-07 01:11:54
311,15654,6942,7429,4,Smooth ride,2025-12-18 07:40:20
312,875,5391,5550,4,Smooth ride,2025-08-29 18:05:43
313,5646,2593,7693,5,Average experience,2025-04-14 15:28:30
314,15516,5351,5672,5,Could have been better,2026-01-07 07:04:03
315,10664,3859,5379,3,Great ride,2025-07-01 15:56:56
316,4415,9798,7261,3,Great ride,2026-03-28 05:51:52
317,15966,6120,4935,3,Clean vehicle,2025-03-07 19:17:38
318,16377,9566,3869,5,Very friendly driver,2025-07-29 04:01:40
319,7813,1603,5650,4,Good experience,2025-07-27 13:38:58
320,2610,9943,627,5,Good experience,2025-01-12 13:37:27
321,12467,3128,4690,5,,2026-02-09 08:51:53
322,13800,5939,7123,5,Great ride,2025-06-01 18:04:09
323,19424,4202,6798,1,Driver was professional,2026-05-13 14:01:16
324,7887,2095,4773,4,Clean vehicle,2026-04-13 06:43:17
325,1808,1428,6529,5,Very friendly driver,2025-10-18 15:32:55
326,19221,1259,4117,5,Driver was professional,2025-08-16 23:30:52
327,8266,4465,5353,4,On time,2025-07-18 12:43:16
328,19628,6209,1941,5,Could have been better,2025-10-08 20:38:26
329,15242,193,101,5,Good experience,2025-10-04 21:23:54
330,15577,6814,7397,4,Could have been better,2026-05-16 06:17:44
331,16303,9056,933,4,,2026-05-14 09:25:36
332,17661,5031,9450,1,Smooth ride,2025-10-24 11:06:26
333,11977,353,4222,5,Average experience,2026-07-02 11:58:40
334,4344,6301,2982,4,Driver was professional,2025-11-05 13:34:55
335,6954,1667,9106,5,On time,2025-12-25 16:33:52
336,11541,1143,1608,5,On time,2025-09-08 01:48:17
337,7590,8768,3110,5,Very friendly driver,2026-03-20 10:12:13
338,17665,788,1425,4,,2026-01-14 08:44:51
339,1336,3686,7136,4,Driver was professional,2026-04-20 06:23:58
340,13520,1923,7811,5,Good experience,2025-10-11 23:32:11
341,3350,7162,9495,5,Could have been better,2025-04-16 14:18:31
342,19483,3071,3500,5,Great ride,2025-11-13 15:47:12
343,3984,9267,9133,5,,2026-03-18 22:43:11
344,13166,7727,829,5,On time,2025-11-29 20:10:20
345,12033,4642,7667,4,Could have been better,2025-01-24 14:36:39
346,9913,4300,3734,5,Smooth ride,2025-05-21 04:58:36
347,7135,2682,1313,2,Smooth ride,2025-10-26 04:55:43
348,12305,4216,8809,5,Average experience,2025-05-25 12:10:24
349,15403,1402,3471,2,Smooth ride,2025-10-04 22:46:31
350,17649,4885,8870,4,Driver was professional,2026-05-17 12:32:09
351,5937,3954,1769,4,Clean vehicle,2026-03-01 12:04:20
352,12196,3569,6659,5,Very friendly driver,2026-02-04 09:05:31
353,13709,6785,9447,5,Driver was professional,2025-11-09 11:04:17
354,15800,532,5222,5,Good experience,2025-04-28 13:11:30
355,5341,1466,4744,4,On time,2026-03-19 07:20:38
356,12779,774,3695,5,Good experience,2025-11-16 09:53:30
357,15171,7053,827,3,Smooth ride,2025-08-08 13:34:02
358,13030,2860,5926,5,Great ride,2025-05-29 00:34:24
359,1195,3841,7614,5,Average experience,2026-05-18 06:46:10
360,13171,5572,1200,5,Great ride,2026-06-13 09:00:14
361,13007,9430,8152,3,Smooth ride,2026-06-25 19:21:48
362,19747,2606,4067,5,Clean vehicle,2025-11-05 18:58:48
363,13901,5331,1655,5,Could have been better,2025-08-11 02:53:48
364,352,2158,5465,5,On time,2026-04-11 03:17:06
365,15109,5158,9380,5,Good experience,2026-04-25 15:21:54
366,2179,2313,3794,4,,2026-05-20 19:25:57
367,18524,1944,345,5,Very friendly driver,2025-07-27 15:19:25
368,17437,2759,8321,2,Very friendly driver,2025-10-16 02:08:25
369,17102,5127,1110,5,,2025-03-20 02:11:03
370,11349,9319,7649,3,Driver was professional,2025-06-09 10:33:54
371,19716,7908,4511,5,Great ride,2025-07-30 02:59:55
372,18219,3353,2579,2,Good experience,2025-09-02 01:36:39
373,2370,3518,1390,5,Clean vehicle,2025-01-03 04:35:24
374,8712,4667,9855,4,Driver was professional,2026-07-27 00:46:28
375,8263,8468,2570,4,On time,2025-09-26 14:14:25
376,19874,5921,6223,4,Clean vehicle,2026-05-18 14:34:32
377,7114,4795,3156,4,Average experience,2026-01-31 22:48:32
378,18853,413,9373,4,Driver was professional,2025-05-22 10:40:21
379,2003,4464,44,4,Could have been better,2025-05-22 14:56:29
380,10145,6100,9865,2,Driver was professional,2025-03-23 20:59:44
381,334,8572,8856,5,Driver was professional,2025-12-22 10:43:14
382,13190,3014,7605,1,Very friendly driver,2025-07-04 12:19:42
383,1313,4200,4217,4,Average experience,2026-02-11 05:51:44
384,3315,8832,2624,4,Very friendly driver,2025-09-11 10:20:43
385,10605,413,9808,5,Smooth ride,2026-01-13 10:54:10
386,69,5262,2786,5,Great ride,2025-01-25 18:18:31
387,6819,6749,8159,5,On time,2026-07-03 13:37:22
388,19410,2485,3263,5,,2025-09-15 12:28:57
389,3380,5041,7712,4,Clean vehicle,2025-02-11 06:13:05
390,17059,1010,9164,4,Smooth ride,2026-07-06 17:20:02
391,12588,538,3534,4,Clean vehicle,2025-02-19 12:24:36
392,3084,5880,5537,5,Average experience,2026-04-09 21:37:12
393,1266,7387,7887,5,Very friendly driver,2026-06-17 20:42:27
394,9883,7403,9743,5,Could have been better,2025-11-25 16:19:24
395,1087,5160,571,2,Very friendly driver,2025-10-03 06:36:15
396,6167,7600,3560,5,On time,2026-05-24 16:30:42
397,1778,5241,6786,4,On time,2026-07-09 22:43:31
398,18715,9331,5443,5,,2025-08-25 21:29:46
399,13286,7740,1895,4,Could have been better,2025-03-23 14:15:41
400,5605,5590,5155,5,Average experience,2026-06-20 12:39:22
401,19118,2118,7490,5,Smooth ride,2026-06-30 03:16:37
402,874,3030,9535,5,Clean vehicle,2025-03-20 20:19:49
403,19558,4699,2674,5,Very friendly driver,2025-04-12 16:37:12
404,16592,7769,1152,4,Driver was professional,2026-01-14 01:40:14
405,4985,8408,5729,5,Great ride,2026-05-08 00:50:10
406,10112,1878,908,5,Could have been better,2025-05-30 16:57:22
407,12376,4276,8900,5,Very friendly driver,2025-12-26 08:04:20
408,18527,4834,425,5,Average experience,2025-06-25 06:05:01
409,9660,8123,9820,1,Good experience,2025-12-05 22:20:20
410,4848,6442,7252,5,Smooth ride,2025-12-04 10:48:54
411,18878,7857,5581,5,On time,2026-02-08 03:12:57
412,18719,7190,4739,4,Very friendly driver,2025-11-23 21:26:42
413,18885,1650,9399,2,,2025-07-03 23:41:23
414,12595,2392,5586,4,On time,2025-06-07 15:19:37
415,5868,5091,9279,5,On time,2025-02-24 23:35:37
416,15276,7226,4787,5,Driver was professional,2025-07-08 17:34:33
417,3262,2202,4807,4,Smooth ride,2025-03-29 17:20:40
418,10266,934,9503,2,Great ride,2026-05-16 21:05:01
419,6903,1566,1375,5,,2025-01-08 10:31:30
420,14130,7235,9958,4,Driver was professional,2026-03-06 05:20:19
421,14588,2712,5664,5,On time,2025-08-03 22:55:51
422,18057,6719,2674,5,Clean vehicle,2026-05-03 17:35:41
423,14499,3655,3589,4,Driver was professional,2025-07-27 22:34:49
424,3713,7897,965,4,Clean vehicle,2026-07-12 22:48:32
425,13243,5914,678,5,Great ride,2026-07-22 18:09:37
426,19883,626,9441,5,Good experience,2025-04-22 16:46:15
427,3834,2545,7954,5,Great ride,2026-04-15 14:18:17
428,165,8486,2613,5,On time,2026-03-13 04:53:58
429,8449,1893,2612,5,Great ride,2025-02-26 23:49:21
430,14699,5609,2580,5,Could have been better,2026-01-01 23:53:45
431,15810,8172,3021,5,Good experience,2025-04-30 10:00:08
432,2543,4196,5334,4,Very friendly driver,2026-06-18 06:34:27
433,10207,3406,7534,5,Average experience,2025-06-01 11:31:27
434,15219,1915,7493,5,,2025-08-30 21:09:34
435,9090,8592,4574,4,Good experience,2025-08-22 23:52:42
436,8240,8456,8351,5,Average experience,2026-07-25 15:18:28
437,8462,1783,78,3,,2026-04-11 14:34:36
438,14782,2542,7556,5,Driver was professional,2025-12-24 18:06:35
439,7535,3962,2589,5,Average experience,2025-02-04 03:19:39
440,17637,1826,3766,4,Driver was professional,2026-03-27 04:26:05
441,4582,7591,1828,5,,2026-04-01 00:25:18
442,3863,6120,7452,5,Average experience,2025-07-11 12:20:49
443,11298,1500,9563,5,Clean vehicle,2025-05-25 23:33:33
444,4553,8420,4263,5,Smooth ride,2026-04-15 09:10:34
445,15061,8377,6485,5,Clean vehicle,2025-12-13 07:38:56
