ride_id,rider_id,driver_id,requested_at,pickup_time,dropoff_time,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_km,fare,surge_multiplier,status,cancellation_reason
13,934,7103,2026-07-15 04:43:18,2026-07-15 04:56:18,2026-07-15 05:21:18,44.556018,-74.854746,44.596407,-74.553941,1.51,14.39,1.0,completed,
14,120,5024,2025-01-29 14:07:34,2025-01-29 14:10:34,2025-01-29 14:37:34,43.662805,-77.630269,45.422962,-74.361199,4.66,20.61,1.0,completed,
15,8983,8761,2025-11-13 02:39:49,2025-11-13 02:48:49,2025-11-13 03:38:49,44.687287,-65.528612,43.442879,-76.05029,30.39,73.68,1.0,completed,
16,5884,1780,2025-08-25 21:59:36,2025-08-25 22:06:36,2025-08-25 22:37:36,43.208209,-66.012164,43.671369,-69.978625,34.87,74.87,1.0,completed,
17,3965,2843,2026-05-21 00:30:28,2026-05-21 00:36:28,2026-05-21 00:57:28,43.61028,-75.535762,43.810819,-74.36161,16.01,38.37,1.0,completed,
18,35,1309,2025-04-08 04:16:28,2025-04-08 04:20:28,2025-04-08 04:29:28,44.999419,-69.253154,44.256964,-70.674556,36.39,139.67,2.0,completed,
19,2361,1183,2025-04-10 12:44:55,,,45.399101,-65.521255,43.612615,-70.775104,0,0,1.0,requested,
20,6077,8541,2026-07-08 09:49:34,2026-07-08 10:00:34,2026-07-08 10:49:34,43.378844,-79.154809,44.793704,-64.759495,6.93,32.28,1.0,completed,
21,765,6938,2025-11-28 10:42:19,2025-11-28 10:56:19,2025-11-28 11:38:19,44.009644,-71.152887,44.741853,-77.209856,18.11,98.78,2.0,completed,
22,1884,5237,2026-07-04 12:34:04,2026-07-04 12:40:04,2026-07-04 12:48:04,44.665583,-70.047112,45.4711,-71.962047,27.66,54.2,1.0,completed,
23,2563,4563,2026-06-21 13:30:38,,,44.646507,-76.779816,44.664328,-70.057638,0,0,1.0,cancelled,other
24,6870,321,2026-07-22 13:39:26,2026-07-22 13:42:26,2026-07-22 14:00:26,43.129492,-77.16275,43.554369,-68.641491,15.21,35.92,1.0,completed,
25,2293,5940,2026-07-21 02:56:14,2026-07-21 03:04:14,2026-07-21 03:46:14,44.065476,-69.454691,45.289284,-74.93539,9.68,34.64,1.0,completed,
26,241,2954,2026-05-05 04:58:19,2026-05-05 05:08:19,2026-05-05 05:24:19,44.548905,-75.556024,45.005157,-64.274564,8.16,22.88,1.0,completed,
27,8791,9513,2026-01-19 12:45:54,2026-01-19 13:00:54,2026-01-19 13:27:54,43.406813,-73.334617,45.422749,-67.802602,15.62,39.78,1.0,completed,
28,7558,7617,2025-09-09 22:44:28,,,43.793027,-77.287671,45.059489,-70.088575,0,0,1.0,cancelled,driver_too_far
29,9345,5077,2025-01-11 16:11:59,2025-01-11 16:21:59,2025-01-11 17:18:59,43.134455,-77.208647,45.463255,-71.60284,9.13,46.71,1.2,completed,
30,9147,7966,2026-03-24 20:41:14,2026-03-24 20:52:14,2026-03-24 21:06:14,44.585668,-70.687521,44.777674,-73.177111,31.94,95.69,1.5,completed,
31,4493,7025,2026-03-26 07:57:27,2026-03-26 08:00:27,2026-03-26 08:06:27,43.85129,-67.268701,45.218319,-76.865592,16.6,68.3,2.0,completed,
32,3980,4006,2025-08-31 01:22:34,2025-08-31 01:24:34,2025-08-31 01:49:34,44.86701,-72.868469,45.371401,-65.649406,7.81,25.42,1.0,completed,
33,8932,1397,2025-12-02 16:13:30,,,44.631521,-79.50886,44.59496,-71.705396,0,0,1.0,cancelled,rider_cancelled
34,3017,9615,2025-04-19 04:46:54,,,45.187381,-69.061698,45.047798,-65.873747,0,0,1.0,cancelled,driver_cancelled
35,578,2565,2026-05-20 17:45:16,2026-05-20 17:59:16,2026-05-20 18:54:16,44.425311,-63.569069,44.505255,-72.581648,1.18,29.18,1.2,completed,
36,8546,7725,2026-02-03 03:32:34,,,45.327614,-71.522577,44.464246,-64.504907,0,0,1.0,cancelled,driver_cancelled
37,9015,8221,2025-01-20 04:58:12,2025-01-20 05:13:12,2025-01-20 05:34:12,44.390324,-72.512004,43.706457,-79.082061,7.66,23.76,1.0,completed,
38,1180,4336,2026-01-23 22:08:35,,,43.650694,-68.717901,45.148844,-65.009058,0,0,1.0,requested,
39,6041,6348,2026-01-15 00:15:34,,,45.117756,-78.536344,44.745324,-73.270515,0,0,1.0,cancelled,driver_too_far
40,6843,2267,2025-04-14 22:13:45,2025-04-14 22:25:45,2025-04-14 22:42:45,43.084677,-78.772021,44.386686,-75.204182,18.79,62.75,1.5,completed,
41,150,4343,2026-06-27 18:00:23,2026-06-27 18:08:23,2026-06-27 18:57:23,44.951744,-68.527161,45.32609,-74.749181,10.19,37.98,1.0,completed,
42,9047,8836,2026-04-09 05:09:11,2026-04-09 05:12:11,2026-04-09 05:37:11,43.464931,-64.240901,44.253208,-77.541041,26.52,87.24,1.5,completed,
43,4399,6798,2025-12-21 17:57:17,2025-12-21 18:05:17,2025-12-21 18:31:17,43.699812,-73.147595,43.937687,-64.106426,10.44,36.44,1.2,completed,
44,6474,4742,2025-11-22 13:42:30,2025-11-22 13:51:30,2025-11-22 14:02:30,43.992673,-69.155164,44.76476,-78.261413,15.74,34.4,1.0,completed,
45,4714,7183,2025-10-14 15:39:52,2025-10-14 15:46:52,2025-10-14 15:59:52,43.294173,-71.288895,43.752009,-70.873487,13.12,36.61,1.2,completed,
46,3623,5611,2026-05-11 15:02:20,2026-05-11 15:15:20,2026-05-11 16:07:20,43.21951,-77.802287,43.204714,-77.101846,8.96,36.88,1.0,completed,
47,9413,7675,2026-02-11 13:32:52,2026-02-11 13:35:52,2026-02-11 14:30:52,44.932853,-75.40128,43.133066,-78.337162,11.45,84.57,2.0,completed,
48,1466,727,2025-03-05 10:21:39,2025-03-05 10:35:39,2025-03-05 10:59:39,44.400246,-63.577434,44.716361,-70.530778,19.23,90.11,2.0,completed,
49,1070,8096,2025-08-01 21:26:17,,,44.946765,-78.879143,44.84732,-76.983148,0,0,1.0,cancelled,rider_cancelled
50,3710,9470,2026-02-23 16:08:46,2026-02-23 16:23:46,2026-02-23 17:17:46,44.272311,-79.391268,44.24513,-70.26997,19.64,56.27,1.0,completed,
51,5369,7179,2026-05-16 00:31:30,2026-05-16 00:40:30,2026-05-16 01:02:30,44.734804,-77.13358,43.686279,-68.767337,29.56,74.92,1.2,completed,
52,7914,6335,2025-02-17 04:34:00,,,43.965428,-65.489623,44.573226,-66.370533,0,0,1.0,in_progress,
53,7717,4095,2025-11-06 12:17:26,2025-11-06 12:28:26,2025-11-06 13:13:26,44.209478,-68.406179,44.429279,-77.369263,6.13,29.48,1.0,completed,
54,9173,3321,2026-06-29 07:40:41,2026-06-29 07:50:41,2026-06-29 08:36:41,44.271933,-73.113022,44.730724,-76.408198,18.07,50.72,1.0,completed,
55,3489,3909,2025-09-30 04:01:52,2025-09-30 04:10:52,2025-09-30 04:38:52,44.372345,-70.515894,44.635387,-68.582268,35.09,74.21,1.0,completed,
56,5989,9820,2025-09-08 05:49:30,2025-09-08 06:04:30,2025-09-08 06:47:30,44.392812,-75.260412,45.333413,-77.295741,20.56,54.03,1.0,completed,
57,6033,2778,2025-11-23 03:28:16,2025-11-23 03:40:16,2025-11-23 04:09:16,45.270484,-69.727436,43.740195,-68.640184,22.54,105.19,2.0,completed,
58,7909,4107,2025-12-22 13:56:21,2025-12-22 14:02:21,2025-12-22 14:25:21,43.865536,-65.200376,44.582453,-77.082172,18.77,43.9,1.0,completed,
59,7424,320,2025-12-01 23:50:33,2025-12-02 00:00:33,2025-12-02 00:54:33,43.622818,-71.363518,43.028447,-68.667088,32.18,78.22,1.0,completed,
60,150,9305,2026-05-10 08:56:47,2026-05-10 09:05:47,2026-05-10 09:44:47,44.204306,-66.886047,43.3473,-75.430027,1.33,37.95,2.0,completed,
61,3618,8730,2025-09-01 12:20:44,2025-09-01 12:31:44,2025-09-01 12:45:44,43.302358,-71.421447,43.258736,-69.638087,6.82,19.84,1.0,completed,
62,2364,4480,2026-02-21 17:37:54,,,44.792233,-77.363494,43.416047,-77.458705,0,0,1.0,cancelled,rider_cancelled
63,3518,3681,2025-04-18 07:59:01,2025-04-18 08:13:01,2025-04-18 08:43:01,43.535696,-71.241829,44.610689,-78.471903,34.14,109.87,1.5,completed,
64,8829,7508,2026-03-30 16:33:12,2026-03-30 16:39:12,2026-03-30 17:18:12,45.476975,-77.125471,44.71441,-76.67767,37.57,82.4,1.0,completed,
65,2029,6959,2026-07-19 21:36:48,2026-07-19 21:50:48,2026-07-19 22:49:48,44.504296,-70.556713,43.202707,-71.514446,39.47,92.72,1.0,completed,
66,1043,7067,2025-11-07 16:56:02,2025-11-07 16:59:02,2025-11-07 17:19:02,45.341931,-68.506433,44.789203,-68.700879,26.08,66.77,1.2,completed,
67,2057,1209,2025-07-21 22:04:10,2025-07-21 22:11:10,2025-07-21 23:08:10,43.328067,-72.007357,44.786045,-65.565341,12.77,54.36,1.2,completed,
68,6014,8402,2026-06-14 04:36:25,2026-06-14 04:45:25,2026-06-14 05:41:25,43.41325,-76.945776,43.85809,-68.668698,11.27,42.32,1.0,completed,
69,5262,2786,2025-01-25 17:35:31,2025-01-25 17:41:31,2025-01-25 18:18:31,44.619379,-71.248064,44.958225,-72.661458,34.53,76.38,1.0,completed,
70,3106,3115,2025-04-23 16:04:18,2025-04-23 16:18:18,2025-04-23 16:26:18,45.076826,-67.056203,43.616307,-69.38333,16.61,34.87,1.0,completed,
71,5290,6756,2025-07-08 20:54:30,,,44.866663,-73.576103,44.901134,-64.244924,0,0,1.0,requested,
72,4122,8023,2026-02-07 23:18:45,2026-02-07 23:27:45,2026-02-07 23:37:45,43.79295,-66.100097,43.565713,-74.381944,29.36,115.76,2.0,completed,
73,2576,6956,2025-06-14 13:34:37,2025-06-14 13:45:37,2025-06-14 13:52:37,44.808417,-63.629184,44.480296,-64.139741,8.19,29.67,1.5,completed,
74,9142,9197,2025-02-13 12:15:45,2025-02-13 12:26:45,2025-02-13 13:17:45,43.949539,-78.092525,44.529801,-72.247647,12.29,50.83,1.2,completed,
75,8595,7261,2025-04-04 01:12:53,2025-04-04 01:24:53,2025-04-04 01:31:53,44.002037,-75.238221,43.089947,-70.436793,19.0,77.4,2.0,completed,
76,7125,4891,2025-05-03 22:24:58,2025-05-03 22:36:58,2025-05-03 22:49:58,44.066731,-65.617755,44.791573,-65.163302,30.42,60.78,1.0,completed,
77,5200,2144,2025-02-12 05:28:36,2025-02-12 05:43:36,2025-02-12 06:34:36,43.159105,-72.526809,44.595154,-74.373017,28.04,69.92,1.0,completed,
78,4539,6249,2025-12-24 00:00:38,,,43.61949,-77.976336,45.224795,-72.411259,0,0,1.0,cancelled,rider_no_show
79,3499,4156,2025-07-22 06:36:52,2025-07-22 06:50:52,2025-07-22 07:33:52,45.469386,-66.996514,44.227388,-77.77122,31.82,110.6,1.5,completed,
80,4631,6771,2026-05-03 16:37:46,2026-05-03 16:52:46,2026-05-03 17:44:46,43.587605,-66.595462,45.44269,-63.758363,28.76,71.53,1.0,completed,
81,6699,1965,2025-06-20 04:31:40,2025-06-20 04:44:40,2025-06-20 04:49:40,44.400148,-76.142999,43.301647,-71.10491,39.15,73.26,1.0,completed,
82,9427,1747,2025-09-06 15:57:07,2025-09-06 16:11:07,2025-09-06 16:59:07,44.54257,-76.635853,44.943243,-76.054113,1.71,22.79,1.0,completed,
83,109,2651,2025-10-14 17:57:41,2025-10-14 18:00:41,2025-10-14 18:57:41,44.839142,-78.017883,45.32924,-70.489487,36.94,105.11,1.2,completed,
84,9318,9483,2025-01-23 09:35:10,2025-01-23 09:41:10,2025-01-23 10:21:10,45.145392,-64.990372,44.363648,-67.230172,36.07,160.25,2.0,completed,
85,6317,6930,2026-06-30 01:54:47,2026-06-30 02:09:47,2026-06-30 02:50:47,44.735504,-69.333055,43.332934,-66.213082,19.04,50.67,1.0,completed,
86,6130,628,2026-04-29 01:43:34,2026-04-29 01:53:34,2026-04-29 02:13:34,44.657038,-66.044542,43.990263,-65.550155,35.42,143.97,2.0,completed,
87,1047,8699,2025-01-31 06:53:32,2025-01-31 06:55:32,2025-01-31 07:17:32,44.404485,-64.956459,45.269494,-67.275411,38.1,92.85,1.2,completed,
88,6342,983,2025-10-28 23:38:37,2025-10-28 23:49:37,2025-10-29 00:42:37,44.19919,-72.176603,43.949556,-69.819061,11.04,49.04,1.2,completed,
89,6281,5611,2025-07-19 03:39:32,2025-07-19 03:45:32,2025-07-19 04:27:32,43.877654,-79.110866,43.857621,-68.896902,3.51,35.76,1.5,completed,
90,5126,2464,2025-09-08 19:50:20,2025-09-08 19:59:20,2025-09-08 20:18:20,45.479726,-67.62564,44.313572,-77.590184,1.57,12.4,1.0,completed,
91,5859,4233,2025-05-17 05:58:33,,,43.328063,-69.357381,44.188486,-63.889028,0,0,1.0,cancelled,driver_cancelled
92,9393,2526,2026-01-12 13:13:50,2026-01-12 13:28:50,2026-01-12 13:56:50,43.859605,-64.270986,44.217882,-64.157034,7.17,50.69,2.0,completed,
93,7777,2086,2025-07-07 11:42:32,2025-07-07 11:45:32,2025-07-07 12:34:32,43.169471,-73.506587,45.395383,-75.988114,11.39,40.08,1.0,completed,
94,1816,5760,2025-12-25 20:32:24,2025-12-25 20:39:24,2025-12-25 21:34:24,44.16281,-72.201615,44.633721,-71.504465,23.73,63.78,1.0,completed,
95,3189,5618,2025-01-21 15:14:04,2025-01-21 15:27:04,2025-01-21 15:51:04,43.828404,-65.025559,43.716095,-67.419262,38.15,156.32,2.0,completed,
96,674,8475,2025-10-23 22:04:53,2025-10-23 22:09:53,2025-10-23 22:30:53,45.386087,-67.064922,44.488656,-71.817192,27.94,88.87,1.5,completed,
97,4974,9486,2025-08-14 11:21:36,2025-08-14 11:29:36,2025-08-14 12:24:36,44.412281,-67.358499,44.200719,-76.653544,7.17,34.8,1.0,completed,
98,8971,342,2025-09-10 22:19:27,2025-09-10 22:34:27,2025-09-10 23:17:27,45.274885,-78.408124,43.032121,-79.279074,1.08,29.91,1.5,completed,
99,9945,9583,2026-01-01 18:00:31,2026-01-01 18:03:31,2026-01-01 19:01:31,44.83112,-76.485222,44.598422,-78.647621,21.22,60.43,1.0,completed,
100,6304,6709,2026-06-12 06:55:24,2026-06-12 07:00:24,2026-06-12 07:16:24,44.832825,-78.358155,43.497165,-69.612743,8.25,23.04,1.0,completed,
101,1717,2274,2026-01-04 17:48:11,,,43.645488,-75.055091,43.922882,-69.045076,0,0,1.0,requested,
102,4045,9896,2025-08-09 06:33:15,2025-08-09 06:42:15,2025-08-09 06:57:15,44.772522,-66.166504,43.725416,-66.807891,18.3,48.33,1.2,completed,
103,9565,9225,2026-07-21 03:39:56,2026-07-21 03:54:56,2026-07-21 04:03:56,44.020093,-73.411442,43.968714,-70.534246,18.77,39.0,1.0,completed,
104,6721,3697,2025-04-08 14:36:48,,,43.301519,-72.100134,44.523192,-71.130419,0,0,1.0,cancelled,rider_no_show
105,1897,2658,2025-12-18 13:53:37,2025-12-18 14:08:37,2025-12-18 14:48:37,44.512681,-65.166631,45.380212,-64.934812,6.11,55.39,2.0,completed,
106,6363,6827,2026-02-07 04:18:04,,,44.409307,-70.018237,43.441969,-63.780964,0,0,1.0,cancelled,rider_no_show
107,2026,1226,2025-05-06 07:53:20,,,43.79017,-64.894555,44.786667,-70.747323,0,0,1.0,cancelled,rider_cancelled
108,4227,5975,2026-01-07 11:20:24,2026-01-07 11:24:24,2026-01-07 11:53:24,43.811581,-66.149981,43.255416,-76.543624,7.68,53.18,2.0,completed,
109,3651,5773,2025-04-12 09:18:30,2025-04-12 09:32:30,2025-04-12 10:09:30,43.574546,-68.839084,44.993861,-76.807362,34.74,76.75,1.0,completed,
110,5828,3607,2025-01-22 19:07:17,2025-01-22 19:10:17,2025-01-22 20:10:17,43.331614,-79.096992,43.613923,-79.040943,7.54,74.39,2.0,completed,
111,770,7482,2025-05-02 16:05:53,2025-05-02 16:17:53,2025-05-02 16:29:53,45.285661,-73.323385,44.04727,-64.939374,6.99,23.32,1.2,completed,
112,7710,6414,2026-02-03 12:21:28,2026-02-03 12:26:28,2026-02-03 12:37:28,44.864346,-78.981689,44.523502,-65.528492,20.12,63.09,1.5,completed,
113,5538,4848,2025-03-04 10:13:30,2025-03-04 10:21:30,2025-03-04 11:09:30,44.326116,-74.85989,44.632516,-68.178305,21.87,58.07,1.0,completed,
114,8571,5273,2026-01-20 05:15:32,2026-01-20 05:30:32,2026-01-20 05:41:32,43.170711,-77.300167,44.271879,-63.811576,22.71,46.59,1.0,completed,
115,7227,5906,2025-09-30 01:35:36,2025-09-30 01:45:36,2025-09-30 02:11:36,43.655932,-73.716677,44.007858,-75.07251,4.56,30.12,1.5,completed,
116,7969,4800,2026-05-08 07:21:35,,,45.118692,-68.487641,43.136268,-65.471098,0,0,1.0,cancelled,other
117,518,6335,2025-10-10 09:35:19,,,44.131982,-66.532579,44.520928,-72.076341,0,0,1.0,cancelled,other
118,1588,4694,2026-01-03 01:50:15,2026-01-03 02:02:15,2026-01-03 02:52:15,45.273083,-74.317878,43.621239,-68.098707,13.51,44.14,1.0,completed,
119,1341,9066,2025-05-02 13:29:31,,,45.396925,-77.049504,43.672696,-75.147256,0,0,1.0,cancelled,rider_cancelled
120,9118,7848,2025-10-12 01:39:23,,,44.562991,-75.769446,43.033399,-70.401901,0,0,1.0,in_progress,
121,6375,1900,2025-09-14 13:03:37,2025-09-14 13:11:37,2025-09-14 13:46:37,43.594298,-73.684849,44.667419,-71.321367,38.7,82.98,1.0,completed,
122,6558,189,2025-12-11 17:09:20,2025-12-11 17:12:20,2025-12-11 17:43:20,44.001655,-76.849403,44.886934,-69.669218,8.86,29.35,1.0,completed,
123,3447,242,2026-04-18 22:24:17,2026-04-18 22:39:17,2026-04-18 23:38:17,43.521562,-68.059875,43.42457,-64.10562,38.41,109.04,1.2,completed,
124,1267,6937,2025-10-31 01:17:19,2025-10-31 01:19:19,2025-10-31 01:37:19,44.586046,-67.256454,43.759267,-79.386328,16.6,38.35,1.0,completed,
125,8373,2548,2026-04-08 05:21:55,2026-04-08 05:32:55,2026-04-08 06:00:55,44.663236,-74.504178,44.306467,-70.665408,15.91,40.64,1.0,completed,
126,786,8809,2025-07-30 17:10:51,2025-07-30 17:24:51,2025-07-30 17:37:51,44.782802,-79.246688,43.334414,-66.150289,21.97,46.0,1.0,completed,
127,2724,4935,2025-02-19 17:48:18,2025-02-19 17:57:18,2025-02-19 18:51:18,44.586854,-76.713045,44.554117,-64.712505,12.7,66.19,1.5,completed,
128,8558,735,2025-09-29 22:40:56,2025-09-29 22:48:56,2025-09-29 22:55:56,45.364111,-66.000432,43.572149,-68.869756,19.51,79.19,2.0,completed,
129,1184,6747,2025-10-18 22:41:28,2025-10-18 22:44:28,2025-10-18 23:17:28,45.20018,-79.256127,44.683351,-75.516998,7.26,27.25,1.0,completed,
130,4614,2804,2026-05-16 23:51:26,2026-05-16 23:57:26,2026-05-17 00:30:26,43.259971,-76.873369,43.839366,-71.20064,27.6,75.42,1.2,completed,
131,8299,8380,2026-04-16 05:37:06,2026-04-16 05:44:06,2026-04-16 06:21:06,45.21928,-70.175734,44.666659,-63.593125,32.76,73.28,1.0,completed,
132,5970,1216,2025-11-27 18:30:37,2025-11-27 18:40:37,2025-11-27 19:25:37,43.825076,-78.090328,44.372964,-67.561902,2.68,28.13,1.2,completed,
133,5904,7637,2025-12-12 22:36:18,2025-12-12 22:42:18,2025-12-12 23:32:18,43.208741,-69.360678,45.485291,-67.335214,19.52,54.66,1.0,completed,
134,3382,4459,2025-12-25 08:41:59,2025-12-25 08:50:59,2025-12-25 09:38:59,43.099145,-67.250677,44.987115,-67.776657,19.02,63.7,1.2,completed,
135,6439,9848,2026-01-30 04:48:50,2026-01-30 04:54:50,2026-01-30 05:33:50,43.708943,-64.411238,43.579105,-77.083895,31.86,86.89,1.2,completed,
136,5430,9620,2025-10-11 15:19:08,2025-10-11 15:22:08,2025-10-11 16:13:08,43.909694,-72.093633,43.128166,-78.423568,33.15,94.63,1.2,completed,
137,7476,4745,2025-10-25 08:10:18,2025-10-25 08:18:18,2025-10-25 09:11:18,43.203181,-78.873547,43.918635,-72.455317,25.33,98.82,1.5,completed,
138,9455,8095,2025-04-27 02:24:45,2025-04-27 02:34:45,2025-04-27 02:59:45,45.041067,-72.915396,44.904232,-75.275349,10.94,30.89,1.0,completed,
139,8323,5647,2025-01-31 08:19:49,2025-01-31 08:31:49,2025-01-31 09:01:49,44.947644,-65.74809,43.596885,-74.343883,25.75,87.84,1.5,completed,
140,8101,7451,2025-06-13 13:45:30,2025-06-13 13:50:30,2025-06-13 14:41:30,44.634822,-75.506244,43.622492,-77.278925,32.28,77.34,1.0,completed,
141,9959,4012,2026-02-02 01:45:16,2026-02-02 01:56:16,2026-02-02 02:44:16,43.434644,-79.669855,45.343001,-73.38087,7.42,65.57,2.0,completed,
142,5060,4501,2025-06-11 06:42:46,2025-06-11 06:53:46,2025-06-11 07:26:46,43.087412,-79.453299,43.37914,-71.047985,36.73,78.83,1.0,completed,
143,916,7,2025-01-31 11:40:42,2025-01-31 11:44:42,2025-01-31 12:36:42,45.122702,-72.196144,43.032697,-68.104281,17.31,61.79,1.2,completed,
144,9666,5599,2025-07-19 11:37:12,2025-07-19 11:48:12,2025-07-19 12:38:12,43.978699,-63.92568,45.38348,-68.475045,23.63,61.85,1.0,completed,
145,9109,5712,2025-09-26 12:03:30,2025-09-26 12:18:30,2025-09-26 13:09:30,45.334567,-77.162559,43.156071,-78.413263,24.75,64.16,1.0,completed,
146,1512,7911,2025-04-01 10:25:40,2025-04-01 10:30:40,2025-04-01 10:58:40,45.466859,-63.822836,43.390681,-71.957267,8.91,28.39,1.0,completed,
147,6885,6359,2025-11-03 21:47:54,2025-11-03 21:50:54,2025-11-03 22:19:54,44.515093,-66.978983,43.531503,-79.39445,7.52,26.31,1.0,completed,
148,9605,9140,2025-02-07 15:12:00,2025-02-07 15:21:00,2025-02-07 16:09:00,44.152416,-64.838519,43.734213,-73.341237,2.73,29.49,1.2,completed,
149,6295,3110,2025-08-18 22:11:04,,,45.275426,-75.475105,43.292708,-67.683144,0,0,1.0,requested,
150,106,6257,2026-03-02 08:01:46,2026-03-02 08:06:46,2026-03-02 08:17:46,43.556574,-65.834258,45.134421,-76.111953,37.22,71.98,1.0,completed,
151,6961,6930,2025-10-21 01:40:36,2025-10-21 01:55:36,2025-10-21 02:31:36,43.074551,-67.514144,44.59332,-72.423724,12.18,73.83,2.0,completed,
152,1178,4177,2025-03-24 16:17:37,2025-03-24 16:27:37,2025-03-24 17:18:37,43.961254,-68.629601,44.399276,-64.823263,29.73,145.75,2.0,completed,
153,2184,8391,2026-07-12 18:53:49,2026-07-12 19:08:49,2026-07-12 19:25:49,44.113131,-73.39205,43.398406,-71.230211,38.18,75.77,1.0,completed,
154,8115,8640,2025-11-17 21:14:16,2025-11-17 21:21:16,2025-11-17 21:49:16,44.666,-79.52624,43.352912,-69.079284,36.94,154.89,2.0,completed,
155,7823,7805,2025-03-04 20:54:14,2025-03-04 21:06:14,2025-03-04 21:48:14,43.32297,-76.681475,45.252145,-70.399926,28.88,68.24,1.0,completed,
156,2753,126,2025-03-07 05:33:07,2025-03-07 05:41:07,2025-03-07 06:09:07,44.220028,-74.311198,45.407735,-65.784471,11.59,66.16,2.0,completed,
157,2968,4987,2026-06-11 14:20:50,2026-06-11 14:31:50,2026-06-11 14:42:50,44.926506,-78.65383,43.342064,-69.369706,11.13,26.33,1.0,completed,
158,2364,7008,2026-02-28 12:43:49,2026-02-28 12:45:49,2026-02-28 13:30:49,45.093319,-69.446819,43.055432,-75.105056,18.63,51.35,1.0,completed,
159,1491,1042,2025-04-20 15:58:52,,,43.248308,-65.486434,43.084727,-73.161839,0,0,1.0,requested,
160,5652,8380,2026-01-02 05:54:37,2026-01-02 05:57:37,2026-01-02 06:04:37,43.711035,-72.764724,43.748958,-74.143081,36.02,102.73,1.5,completed,
161,3808,9639,2025-12-03 16:12:22,,,44.29304,-66.55207,43.457035,-69.737508,0,0,1.0,in_progress,
162,8684,8861,2025-09-08 06:54:45,,,45.015992,-72.302193,43.044217,-64.096215,0,0,1.0,cancelled,driver_too_far
163,4431,6913,2025-06-16 20:22:26,2025-06-16 20:26:26,2025-06-16 21:10:26,44.028724,-70.453897,43.082382,-63.673255,9.44,69.84,2.0,completed,
164,9750,5268,2025-07-15 02:26:20,2025-07-15 02:38:20,2025-07-15 03:14:20,43.836046,-71.2513,44.943793,-67.116945,6.53,27.03,1.0,completed,
165,8486,2613,2026-03-13 03:55:58,2026-03-13 04:06:58,2026-03-13 04:53:58,43.206554,-65.512822,44.589194,-78.913554,35.57,81.7,1.0,completed,
166,5408,6690,2025-01-19 00:33:17,2025-01-19 00:43:17,2025-01-19 01:00:17,45.372891,-73.430998,44.155369,-75.746838,28.21,116.63,2.0,completed,
167,1947,5006,2025-09-24 07:23:25,2025-09-24 07:27:25,2025-09-24 08:01:25,43.539981,-75.98206,44.741889,-73.367074,33.86,74.16,1.0,completed,
168,9333,2276,2025-04-10 00:43:07,2025-04-10 00:51:07,2025-04-10 01:51:07,44.323735,-72.375988,45.253534,-68.71353,31.59,79.28,1.0,completed,
169,1564,3263,2025-01-03 04:56:32,2025-01-03 05:04:32,2025-01-03 05:25:32,45.318604,-64.330353,43.622415,-78.883995,17.54,41.05,1.0,completed,
170,6998,4555,2026-07-29 11:58:01,2026-07-29 12:01:01,2026-07-29 12:40:01,43.154245,-70.267409,43.262804,-79.08906,13.3,39.92,1.0,completed,
